6 1 2 3 1
1 5 1 1 2
3 3 2 4 3
1 5 0 7 2
1 2 2 5 3
3 1 3 1 1
4 1 5 4 2
4 1 4 1 0
0 1 3 3 1
3 1 3 10 19
15 12 9 13 14
16 18 12 15 8
10 10 7 6 14
6 14 7 8 13
8 14 18 14 15
8 8 13 12 7
12 10 13 10 7
16 12 8 16 11
13 8 10 9 14
13 18 8 9 11
10 8 11 8 10
10 12 9 8 13
20 11 9 12 13
15 11 9 10 12
8 11 21 12 8
11 13 10 18 14
17 9 16 12 20
14 13 8 13 14
12 17 7 12 16
16 14 10 18 13
12 12 10 13 11
10 11 10 12 11
12 15 10 8 10
12 10 9 11 10
8 15 13 24 24
25 24 16 22 13
25 21 22 31 28
17 29 25 28 21
26 36 20 20 12
29 28 29 29 26
